name,N,nnz,nnz_per_row,csr_reuse_distance,num_diags,num_diag_elems,ratio_diag,num_ell_elems,ratio_ell,zero_rows,one_rows,two_rows,three_rows,four_rows,five_rows,small_rows,small_rows_elems,mean_diff_nnz,min_nnz_row,max_nnz_row,mean_nnz_row,vr_nnz_row,sd_nnz_row
Chebyshev4,68121,5377761,78.944244,98.686028,68910,2373637081,441.380173,-1,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16.702408,9,68121,78.944244,1123770.750000,1060.080566
Chebyshev3,4101,36879,8.992684,98.611679,4104,8423447,228.407685,33636402,912.074677,0.000000,0.000000,0.000000,0.073153,0.048769,99.780540,99.902466,55.524826,1.000488,3,4101,8.992684,16344.149414,127.844238
Chebyshev1,261,2319,8.885057,98.620094,264,34967,15.078482,136242,58.750323,0.000000,0.000000,0.000000,1.149425,0.766284,96.551727,98.467430,55.066837,1.007692,3,261,8.885057,985.427551,31.391520
Chebyshev2,2053,18447,8.985387,98.612244,2056,2114583,114.630184,8429618,456.964168,0.000000,0.000000,0.000000,0.146128,0.097418,99.561615,99.805161,55.494118,1.000975,3,2053,8.985387,8152.299805,90.290085
vibrobox,12328,301700,24.472746,95.577728,17723,126155744,418.149632,2983376,9.888552,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.365701,6,121,24.472746,227.878143,15.095634
ex10hs,2548,57308,22.491365,99.110069,209,519500,9.065052,254800,4.446151,0.000000,0.000000,0.000000,0.000000,0.078493,0.000000,0.078493,0.013960,8.443267,4,50,22.491365,127.701431,11.300506
ex5,27,279,10.333333,99.283157,25,399,1.430108,810,2.903226,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.846154,6,15,10.333333,10.222222,3.197221
ex33,1733,22189,12.803808,98.562347,307,508433,22.913741,62388,2.811663,0.000000,0.000000,0.000000,0.000000,0.461627,0.346220,0.807848,0.279418,4.429561,4,18,12.803808,17.859840,4.226090
ex23,1409,42760,30.347765,99.398972,311,410614,9.602760,188806,4.415482,0.000000,0.000000,0.000000,0.000000,0.000000,0.141945,0.141945,0.023386,7.809659,5,67,30.347765,232.983231,15.263788
ex29,2870,23754,8.276655,97.768799,9,25582,1.076955,51660,2.174792,0.000000,6.236934,0.000000,0.000000,0.139373,0.000000,6.376307,0.820914,0.380620,1,9,8.276655,4.155681,2.038549
ex14,3251,65875,20.262997,98.988991,601,1862335,28.270740,240574,3.651977,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.519384,7,37,20.262997,62.281651,7.891872
ex36,3079,53099,17.245535,98.860619,303,909651,17.131227,227846,4.290966,0.000000,0.000000,0.000000,0.000000,0.064956,0.000000,0.064956,0.015066,4.009422,4,37,17.245535,54.525333,7.384127
ex28,2603,77031,29.593163,99.175659,177,450731,5.851294,322772,4.190157,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.132975,8,62,29.593163,226.913467,15.063647
ex26,2163,74464,34.426258,99.093521,1087,1408955,18.921291,346080,4.647615,0.000000,0.000000,0.000000,0.000000,0.092464,0.369857,0.462321,0.064461,9.865865,4,80,34.426258,312.681458,17.682800
ex3,1821,52685,28.931906,99.265442,263,461631,8.762095,225804,4.285926,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.180769,8,62,28.931906,131.310043,11.459060
ex6,1651,49062,29.716536,99.478210,147,236293,4.816212,204724,4.172761,0.000000,0.000000,0.181708,0.666263,0.121139,0.545124,1.514234,0.187518,7.577576,2,62,29.716536,225.459869,15.015321
ex1,216,4317,19.986111,99.652534,127,23398,5.419968,20736,4.803336,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.390697,8,48,19.986111,76.532211,8.748269
ex22,839,22460,26.769964,99.719498,169,133301,5.935040,104036,4.632057,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.340096,7,62,26.769964,190.529617,13.803246
ex19,12005,259577,21.622408,98.791107,185,2204297,8.491881,1200500,4.624832,0.000000,2.515619,2.515619,0.000000,0.008330,0.000000,5.039567,0.350570,7.743002,1,50,21.622408,151.393951,12.304225
ex35,19716,227872,11.557719,98.378479,173,3391616,14.883865,709776,3.114801,0.000000,0.852100,0.862244,0.862244,0.892676,0.015216,3.484480,0.762270,3.356175,1,18,11.557719,20.234966,4.498329
ex11,16614,1096948,66.025520,99.383659,5529,79600136,72.565095,2990520,2.726219,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.679167,14,90,66.025520,263.474670,16.231903
ex40,7740,456188,58.939018,99.640060,521,3958106,8.676480,1377720,3.020071,0.000000,0.000000,0.000000,0.000000,0.000000,0.025840,0.025840,0.002192,23.710299,5,89,58.939018,684.169678,26.156637
ex7,1633,46626,28.552357,99.234329,552,825239,17.699116,244950,5.253507,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18.761030,6,75,28.552357,291.577850,17.075651
ex37,3565,67591,18.959608,98.567856,999,3311929,48.999556,606050,8.966430,0.000000,46.311359,0.000000,0.000000,0.000000,0.000000,46.311359,2.442633,22.288441,1,85,18.959608,413.038269,20.323343
ex21,656,18964,28.908537,99.435776,307,176776,9.321662,81344,4.289390,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.003054,6,62,28.908537,214.217911,14.636185
ex15,6867,98671,14.368866,98.699722,27,184255,1.867367,247212,2.505417,0.000000,0.000000,0.000000,0.000000,0.058250,0.000000,0.058250,0.016216,5.749490,4,18,14.368866,19.126394,4.373374
ex12,3973,79077,19.903599,99.042702,209,818805,10.354528,294002,3.717921,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.234894,7,37,19.903599,63.124748,7.945108
ex10,2410,54840,22.755186,99.017143,185,435964,7.949745,241000,4.394602,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.505189,6,50,22.755186,131.874939,11.483682
ex25,848,24369,28.737028,99.400879,171,137158,5.628380,105152,4.314990,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.158206,6,62,28.737028,218.107971,14.768479
ex32,1159,11047,9.531492,98.370598,113,126527,11.453517,30134,2.727799,0.000000,0.000000,0.345125,0.172563,6.557377,0.000000,7.075065,2.878610,2.374784,2,13,9.531492,7.367315,2.714280
ex4,1601,31849,19.893192,98.806870,185,285805,8.973751,118474,3.719866,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.361250,7,37,19.893192,62.036026,7.876295
ex20,2203,67830,30.789831,99.345421,196,420233,6.195386,295202,4.352086,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.610808,6,67,30.789831,247.863617,15.743685
ex31,3909,91223,23.336658,98.919136,236,906300,9.934994,586350,6.427655,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.102610,7,75,23.336658,201.559525,14.197166
ex18,5773,71701,12.420059,98.502113,279,1588933,22.160542,207828,2.898537,0.000000,1.801490,1.818812,0.086610,0.190542,0.034644,3.932098,0.534163,4.232675,1,18,12.420059,23.357616,4.832972
ex9,3363,99471,29.578054,99.394798,133,440843,4.431875,336300,3.380885,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.443783,10,50,29.578054,132.586044,11.514602
ex8,3096,90841,29.341408,99.108330,213,644948,7.099746,464400,5.112229,0.000000,0.000000,0.000000,0.000000,0.032300,0.000000,0.032300,0.004403,19.183846,4,75,29.341408,294.282257,17.154657
ex2,441,26839,60.859409,99.768990,259,97449,3.630873,110250,4.107828,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.595455,28,125,60.859409,654.932251,25.591644
ex13,2568,75628,29.450155,99.374573,331,822618,10.877162,256800,3.395568,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.088040,10,50,29.450155,129.293472,11.370728
ex24,2283,47901,20.981604,99.248451,231,511119,10.670320,210036,4.384794,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.856705,8,46,20.981604,73.105675,8.550185
ex27,974,37652,38.657085,99.564430,252,229462,6.094285,179216,4.759800,0.000000,0.000000,0.102669,0.616016,0.102669,0.718686,1.540041,0.156698,9.661871,2,92,38.657085,508.695557,22.554279
invextr1_new,30412,1793881,58.985958,97.535347,44154,782008882,435.931303,13016336,7.255964,0.000000,0.000000,0.000000,0.000000,0.082204,0.000000,0.082204,0.005575,6.886423,4,214,58.985958,1540.332642,39.247070
mixtank_new,29957,1990919,66.459229,96.108383,42829,745721103,374.561247,9226756,4.634421,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.248030,10,154,66.459229,1480.557495,38.478012
atmosmodm,1489752,10319760,6.927166,95.544716,7,10349458,1.002878,20856528,2.021028,0.000000,0.000000,0.000000,0.000000,0.000537,0.114918,0.115455,0.083258,0.010153,4,7,6.927166,0.068635,0.261983
atmosmodj,1270432,8814880,6.938490,95.539040,7,8848918,1.003861,17786048,2.017730,0.000000,0.000000,0.000000,0.000000,0.000630,0.109569,0.110199,0.079320,0.013606,4,7,6.938490,0.060044,0.245039
atmosmodd,1270432,8814880,6.938490,95.539040,7,8848918,1.003861,17786048,2.017730,0.000000,0.000000,0.000000,0.000000,0.000630,0.109569,0.110199,0.079320,0.013606,4,7,6.938490,0.060044,0.245039
atmosmodl,1489752,10319760,6.927166,95.544716,7,10349458,1.002878,20856528,2.021028,0.000000,0.000000,0.000000,0.000000,0.000537,0.114918,0.115455,0.083258,0.010153,4,7,6.927166,0.068635,0.261983
radfr1,1048,13299,12.689885,99.037521,232,194089,14.594255,85936,6.461839,0.000000,9.255725,0.000000,0.858779,0.858779,0.000000,10.973283,1.203098,3.302770,1,41,12.689885,86.384079,9.294304
extr1b,2836,10965,3.866361,97.710899,4482,6854691,625.142818,51048,4.655540,0.000000,0.811001,35.472496,18.794077,12.270804,9.590973,76.939354,58.239853,1.279718,1,9,3.866361,4.077733,2.019340
hydr1c,5308,22592,4.256217,96.852867,8271,23851931,1055.768900,148624,6.578612,0.000000,3.749058,28.334589,33.703842,2.543331,5.670686,74.001511,47.003365,1.597890,1,14,4.256217,8.103050,2.846586
rdist3a,2398,61896,25.811510,99.127571,316,635329,10.264460,446028,7.206088,0.000000,4.086739,0.000000,0.792327,0.917431,0.125104,5.921601,0.416828,4.578223,1,93,25.811510,464.145813,21.544044
extr1,2837,10967,3.865703,97.665726,4477,6847032,624.330446,51066,4.656333,0.000000,0.845964,35.424744,18.822701,12.266479,9.587592,76.947479,58.247471,1.280677,1,9,3.865703,4.078164,2.019446
hydr1,5308,22680,4.272796,96.865082,8284,23874875,1052.684083,148624,6.553086,0.000000,3.749058,27.901281,34.099472,2.486812,5.425772,73.662399,46.556438,1.587337,1,14,4.272796,8.137994,2.852717
rdist1,4134,94408,22.836962,99.080589,459,1524154,16.144331,669708,7.093763,0.000000,4.789550,0.000000,0.459603,0.459603,0.000000,5.708756,0.350606,3.948705,1,81,22.836962,353.455841,18.800421
rdist2,3198,56834,17.771732,98.778900,406,1078737,18.980487,390156,6.864834,0.000000,6.191370,0.000000,0.343965,0.437774,0.093809,7.066917,0.531372,4.457304,1,61,17.771732,189.434875,13.763535
tmt_sym,726713,5080961,6.991703,97.338875,3843,2789065897,548.924878,13080834,2.574480,0.000000,0.000000,0.000000,0.018026,0.096875,6.450277,6.565178,4.675966,1.375806,3,9,6.991703,1.015195,1.007569
tmt_unsym,917825,4584801,4.995289,96.271988,4321,3961254063,863.996946,9178250,2.001886,0.000000,0.000000,0.000000,0.138153,0.194808,99.667038,99.999992,100.000000,0.004153,3,5,4.995289,0.007430,0.086197
t2em,921632,4590832,4.981199,96.262077,1711,1575450302,343.173155,9216320,2.007549,0.000000,0.470036,0.000000,0.000000,0.000000,99.529961,100.000000,100.000000,0.010399,1,5,4.981199,0.074504,0.272954
c-60,43640,298570,6.841659,91.353783,44311,508307892,1702.474770,192714240,645.457481,0.000000,0.000000,38.948212,3.478460,16.915674,10.407883,69.750229,30.406940,1.395586,2,2208,6.841659,203.801834,14.275918
c-48,18354,166080,9.048709,92.823341,18425,86499052,520.827625,34872600,209.974711,0.000000,0.000000,40.890270,1.569140,10.499074,3.225455,56.183937,15.981455,2.193538,2,950,9.048709,284.474121,16.866360
c-66,49989,444853,8.899017,92.244850,50613,682133839,1533.391568,523584786,1176.983826,0.000000,0.000000,41.541138,5.515213,10.858389,5.365180,63.279922,19.090576,2.674162,2,5237,8.899017,1042.812744,32.292610
c-19,2327,21817,9.375591,95.068069,2605,1850739,84.830132,1684748,77.221800,0.000000,0.000000,31.843575,0.945423,1.203266,1.375161,35.367424,8.342118,1.886930,2,362,9.375591,143.779861,11.990824
c-26,4307,34537,8.018806,94.440742,4297,5530145,160.122333,3772932,109.243188,0.000000,0.000000,37.079174,0.000000,7.940562,6.222429,51.242165,17.088919,1.465397,2,438,8.018806,156.967072,12.528650
c-52,23948,202708,8.464506,91.583458,24941,159230930,785.518726,82093744,404.985220,0.000000,0.000000,38.366459,1.749624,11.625188,2.801904,54.543179,16.834066,1.626341,2,1714,8.464506,257.372559,16.042835
c-32,5975,54471,9.116486,97.475723,5845,8639339,158.604377,23732700,435.694223,0.000000,0.000000,43.447701,0.000000,7.548117,2.142259,53.138077,14.018469,0.974556,2,1986,9.116486,4136.901367,64.318748
c-big,345241,2340859,6.780362,89.332123,315305,28328443617,12101.730013,-1,-0.000000,0.000000,0.000000,38.984940,2.512158,11.126141,6.001025,58.624264,23.599926,1.146733,2,19578,6.780362,1328.645630,36.450592
c-36,7479,65941,8.816820,95.659760,7201,13373361,202.807980,10081692,152.889583,0.000000,0.000000,42.371975,0.000000,5.722690,0.374382,48.469048,12.420194,1.709816,2,674,8.816820,809.308655,28.448351
c-42,10471,110285,10.532423,96.003082,10717,29335189,265.994369,26847644,243.438763,0.000000,0.000000,38.324898,0.000000,8.977175,0.095502,47.397575,10.732194,1.495798,2,1282,10.532423,1708.482056,41.333790
c-53,30235,355139,11.745956,96.685242,29219,220416187,620.647653,270179960,760.772430,0.000000,0.000000,45.060360,0.902927,3.462874,3.486026,52.912189,10.566285,1.884997,2,4468,11.745956,5416.575195,73.597389
c-37,8204,74676,9.102389,93.203972,8603,18928546,253.475628,10698016,143.259093,0.000000,0.000000,39.346661,1.072647,13.261824,3.729888,57.411018,16.875568,2.075338,2,652,9.102389,220.003632,14.832520
c-61,43618,310016,7.107524,90.304047,43687,507427146,1636.777282,246877880,796.339157,0.000000,0.000000,37.083313,4.195516,16.373974,8.258059,65.910866,27.230207,1.532728,2,2830,7.107524,280.852600,16.758657
c-20,2921,20445,6.999315,95.368057,2849,2228153,108.982783,923036,45.147273,0.000000,0.000000,42.862034,5.751455,9.072235,1.095515,58.781239,20.679873,1.046575,2,158,6.999315,104.307259,10.213093
c-41,9769,101635,10.403829,95.348061,9985,27352863,269.128381,18346182,180.510474,0.000000,0.000000,38.560753,0.603951,5.261542,0.163783,44.590031,9.688592,2.004095,2,939,10.403829,323.522736,17.986738
c-66b,49989,444851,8.898978,92.245270,50613,682133839,1533.398462,523584786,1176.989118,0.000000,0.000000,41.543140,5.513213,10.858389,5.365180,63.279922,19.090437,2.674242,2,5237,8.898978,1042.812744,32.292610
c-21,3509,32145,9.160729,96.036705,3213,3346361,104.102069,3165118,98.463774,0.000000,0.000000,40.866344,0.740952,5.813622,0.000000,47.420918,11.703219,2.014538,2,451,9.160729,181.527863,13.473228
c-40,9941,81501,8.198471,95.737473,9723,23852859,292.669526,32188958,394.951694,0.000000,0.000000,44.583038,0.422493,8.560507,0.000000,53.566040,15.207175,1.348994,2,1619,8.198471,1949.540894,44.153606
c-39,9271,116587,12.575450,95.181282,9545,23843095,204.509036,12386056,106.238740,0.000000,0.000000,40.815445,2.049401,11.422716,2.826017,57.113579,11.737158,4.650054,2,668,12.575450,857.153320,29.277182
c-29,5033,43731,8.688853,95.968536,4935,6597683,150.869703,4841746,110.716563,0.000000,0.000000,40.949730,0.000000,5.702364,1.430558,48.082653,12.874163,1.725755,2,481,8.688853,255.365036,15.980145
c-46,14913,130397,8.743848,95.805115,14075,51640433,396.024701,41666922,319.538962,0.000000,0.000000,44.095757,0.000000,3.426541,0.147522,47.669819,11.738000,2.091403,2,1397,8.743848,1766.051392,42.024414
