name,outer,inner,N,nnz,coo_sd,coo_mflops,coo_sum,coo_l1,coo_l2,coo_l3,coo_bp,csr_sd,csr_mflops,csr_sum,csr_l1,csr_l2,csr_l3,csr_bp,dia_sd,dia_mflops,dia_sum,dia_l1,dia_l2,dia_l3,dia_bp,ell_sd,ell_mflops,ell_sum,ell_l1,ell_l2,ell_l3,ell_bp
Chebyshev4,30,1,68121,5377761,159.884484,875.498,54248,63802864,9294956,1575433,0,414.138484,2267.01,54248,45326353,10024728,1242099,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Chebyshev3,30,5000,4101,36879,215.954704,1182.77,41337,1270188209,63898406,241,0,417.061711,2281.25,41337,928292505,45484140,9377,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Chebyshev1,30,100000,261,2319,220.695314,1208.77,3683,143616986,500177,510662,0,422.719756,2313.47,3683,1780392,97203,96673,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Chebyshev2,30,10000,2053,18447,213.006986,1160.11,59382,1184223755,6953893,16330,0,420.973379,2304.51,59382,839140368,41416,4152,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
vibrobox,30,500,12328,301700,208.966944,1144.13,56645,1116370985,67279933,8073,0,450.758670,2468.87,56645,760233644,56176121,782,2,-1,-1,-1,-1,-1,-1,-1,86.778784,475.306,20215,4986969718,433474801,37252347,0
ex10hs,30,1000,2548,57308,212.800429,1164.1,35576,370706177,20466568,61,0,460.174468,2391.84,35576,242786700,13493731,20,3,153.680157,841.025,35576,986735802,217874509,173,0,199.601450,1087.38,35576,832114331,26910667,31,0
ex5,30,1000000,27,279,261.698222,1432.23,26649,4100,320,200,0,478.007512,2607.19,26649,3607,233,23,0,247.727476,1356.86,26649,14464,293,53,0,304.674179,1664.24,26649,6468,1461,1485,0
ex33,30,5000,1733,22189,242.559995,1327.8,47576,658095541,27388553,104,0,439.229592,2360.39,47576,466069023,4674219,139,2,-1,-1,-1,-1,-1,-1,-1,320.372942,1747.79,47576,595838031,15440519,90,0
ex23,30,5000,1409,42760,202.789062,1110.52,7503,1230923532,58080403,61,0,462.720100,2530.97,7503,843027543,37722266,248,2,-1,-1,-1,-1,-1,-1,-1,205.117440,1123.47,7503,1935221270,105709681,78,0
ex29,30,5000,2870,23754,282.189627,1544.35,55180,723147487,34331345,40,0,461.543663,2498.47,55180,527392768,14063512,27,0,1187.350388,6213.74,55180,491055317,1522284,20,0,414.383880,2251.48,55180,967414927,16957922,13,0
